trial,word_type,diameter
0,0,-1.0
1,1,5.1183202053107895
2,0,4.942300090492491
3,1,5.492602338539719
4,1,4.882469139601613
5,1,3.54181910052856
6,1,5.407642394187808
7,1,4.882521368306813
8,0,3.5464410705965035
9,0,4.788126462011692
10,0,3.4890712267076234
11,0,6.300213056477048
12,0,4.116725807250932
13,1,6.968489547938184
14,0,7.0569678085972
15,0,4.529000795144093
16,1,5.379080743978463
17,1,5.550892710627556
18,0,3.767697768580974
19,1,-1.0
20,0,4.953565887029278
21,0,5.950634931004629
22,0,-1.0
23,1,7.232883852852355
24,0,6.179744821121855
25,0,4.48233013556543
26,0,4.18841472032691
27,1,5.9559612061440435
28,1,6.956465957541604
29,1,5.328926265661279
30,0,5.5597770062995
31,1,6.222842564126222
32,0,5.080411977571646
33,1,-1.0
34,1,4.029279443988081
35,1,4.8584173557955594
36,1,5.170616735422774
37,0,5.468651901718642
38,0,5.031053138999844
39,1,6.00054261709988
