trial,word_type,diameter
0,0,5.318182038895657
1,0,5.79367130207299
2,0,4.26921759620521
3,1,7.39116817520945
4,0,3.706229062879839
5,1,6.7467148062087485
6,1,3.3954849351698453
7,1,7.1883095653643485
8,0,6.7321027989873485
9,1,4.357970916549219
10,0,5.810356043207262
11,1,3.5478031564617503
12,0,4.149874922990899
13,0,6.347292081931364
14,0,4.88763721287164
15,1,3.720364516175801
16,0,5.545676421621145
17,1,3.636197156254207
18,1,6.313114196398499
19,1,6.591586726818557
20,0,3.4915177646155193
21,1,5.310707345215257
22,1,5.34407520294217
23,1,6.404826469210905
24,1,6.35056757132379
25,0,6.750848670609988
26,0,4.351681784329036
27,0,5.514880208300702
28,1,4.80451604281161
29,1,5.3205722950547685
30,0,4.805921966353885
31,1,6.598543879204416
32,1,7.4810130205263645
33,0,4.925083814604422
34,1,4.430472286038791
35,0,3.488807575700186
36,0,4.824416678964009
37,1,6.617927879549847
38,0,4.83208264123899
39,0,3.9075952087276815
